Date,Attributes,Symbols,value
2021-01-12,Adj Close,7203.T,1535.2799072265625
2021-01-13,Adj Close,7203.T,1526.3311767578125
2021-01-14,Adj Close,7203.T,1529.6383056640625
2021-01-15,Adj Close,7203.T,1504.3486328125
2021-01-18,Adj Close,7203.T,1485.478515625
2021-01-19,Adj Close,7203.T,1499.4852294921875
2021-01-20,Adj Close,7203.T,1495.2054443359375
2021-01-21,Adj Close,7203.T,1506.488525390625
2021-01-22,Adj Close,7203.T,1490.1474609375
2021-01-25,Adj Close,7203.T,1493.45458984375
2021-01-26,Adj Close,7203.T,1459.021728515625
2021-01-27,Adj Close,7203.T,1464.4686279296875
2021-01-28,Adj Close,7203.T,1438.9844970703125
2021-01-29,Adj Close,7203.T,1420.114501953125
2021-02-01,Adj Close,7203.T,1418.9473876953125
2021-02-02,Adj Close,7203.T,1450.267578125
2021-02-03,Adj Close,7203.T,1513.8809814453125
2021-02-04,Adj Close,7203.T,1509.40673828125
2021-02-05,Adj Close,7203.T,1541.115966796875
2021-02-08,Adj Close,7203.T,1563.48779296875
2021-02-09,Adj Close,7203.T,1555.1226806640625
2021-02-10,Adj Close,7203.T,1581.57958984375
2021-02-12,Adj Close,7203.T,1636.63330078125
2021-02-15,Adj Close,7203.T,1644.998291015625
2021-02-16,Adj Close,7203.T,1615.2342529296875
2021-02-17,Adj Close,7203.T,1604.3402099609375
2021-02-18,Adj Close,7203.T,1574.381591796875
2021-02-19,Adj Close,7203.T,1568.9346923828125
2021-02-22,Adj Close,7203.T,1567.9620361328125
2021-02-24,Adj Close,7203.T,1535.0853271484375
2021-02-25,Adj Close,7203.T,1559.79150390625
2021-02-26,Adj Close,7203.T,1531.583740234375
2021-03-01,Adj Close,7203.T,1541.6995849609375
2021-03-02,Adj Close,7203.T,1541.3104248046875
2021-03-03,Adj Close,7203.T,1550.648193359375
2021-03-04,Adj Close,7203.T,1541.115966796875
2021-03-05,Adj Close,7203.T,1550.2591552734375
2021-03-08,Adj Close,7203.T,1548.702880859375
2021-03-09,Adj Close,7203.T,1593.0572509765625
2021-03-10,Adj Close,7203.T,1581.1904296875
2021-03-11,Adj Close,7203.T,1573.99267578125
2021-03-12,Adj Close,7203.T,1584.4976806640625
2021-03-15,Adj Close,7203.T,1622.43212890625
2021-03-16,Adj Close,7203.T,1608.6201171875
2021-03-17,Adj Close,7203.T,1616.20703125
2021-03-18,Adj Close,7203.T,1682.73828125
2021-03-19,Adj Close,7203.T,1681.5711669921875
2021-03-22,Adj Close,7203.T,1626.7120361328125
2021-03-23,Adj Close,7203.T,1615.4288330078125
2021-03-24,Adj Close,7203.T,1579.6341552734375
2021-03-25,Adj Close,7203.T,1586.83203125
2021-03-26,Adj Close,7203.T,1626.12841796875
2021-03-29,Adj Close,7203.T,1646.7491455078125
2021-03-30,Adj Close,7203.T,1653.0751953125
2021-03-31,Adj Close,7203.T,1703.2880859375
2021-04-01,Adj Close,7203.T,1665.1341552734375
2021-04-02,Adj Close,7203.T,1672.8441162109375
2021-04-05,Adj Close,7203.T,1672.6463623046875
2021-04-06,Adj Close,7203.T,1653.8658447265625
2021-04-07,Adj Close,7203.T,1677.786376953125
2021-04-08,Adj Close,7203.T,1664.145751953125
2021-04-09,Adj Close,7203.T,1664.145751953125
2021-04-12,Adj Close,7203.T,1667.5064697265625
2021-04-13,Adj Close,7203.T,1681.7401123046875
2021-04-14,Adj Close,7203.T,1677.3909912109375
2021-04-15,Adj Close,7203.T,1693.0084228515625
2021-04-16,Adj Close,7203.T,1686.2869873046875
2021-04-19,Adj Close,7203.T,1684.7054443359375
2021-04-20,Adj Close,7203.T,1664.145751953125
2021-04-21,Adj Close,7203.T,1623.421875
2021-04-22,Adj Close,7203.T,1654.2613525390625
2021-04-23,Adj Close,7203.T,1636.2716064453125
2021-04-26,Adj Close,7203.T,1633.8994140625
2021-04-27,Adj Close,7203.T,1615.5142822265625
2021-04-28,Adj Close,7203.T,1640.620849609375
2021-04-30,Adj Close,7203.T,1606.6182861328125
2021-05-06,Adj Close,7203.T,1653.2728271484375
2021-05-07,Adj Close,7203.T,1653.4705810546875
2021-05-10,Adj Close,7203.T,1681.5423583984375
2021-05-11,Adj Close,7203.T,1648.9237060546875
2021-05-12,Adj Close,7203.T,1684.903076171875
2021-05-13,Adj Close,7203.T,1659.005859375
2021-05-14,Adj Close,7203.T,1676.007080078125
2021-05-17,Adj Close,7203.T,1709.6142578125
2021-05-18,Adj Close,7203.T,1743.4190673828125
2021-05-19,Adj Close,7203.T,1719.6964111328125
2021-05-20,Adj Close,7203.T,1712.9749755859375
2021-05-21,Adj Close,7203.T,1728.3946533203125
2021-05-24,Adj Close,7203.T,1746.58203125
2021-05-25,Adj Close,7203.T,1754.885009765625
2021-05-26,Adj Close,7203.T,1760.617919921875
2021-05-27,Adj Close,7203.T,1775.2469482421875
2021-05-28,Adj Close,7203.T,1805.8887939453125
2021-05-31,Adj Close,7203.T,1801.9349365234375
2021-06-01,Adj Close,7203.T,1862.8231201171875
2021-06-02,Adj Close,7203.T,1903.349365234375
2021-06-03,Adj Close,7203.T,1935.375
2021-06-04,Adj Close,7203.T,1966.8076171875
2021-06-07,Adj Close,7203.T,1960.4815673828125
2021-06-08,Adj Close,7203.T,1948.4224853515625
2021-06-09,Adj Close,7203.T,1958.306884765625
2021-06-10,Adj Close,7203.T,1950.3994140625
2021-06-11,Adj Close,7203.T,1949.410888671875
2021-06-14,Adj Close,7203.T,1957.120849609375
2021-06-15,Adj Close,7203.T,1991.7164306640625
2021-06-16,Adj Close,7203.T,2011.4853515625
2021-06-17,Adj Close,7203.T,2022.358154296875
2021-06-18,Adj Close,7203.T,1943.8756103515625
2021-06-21,Adj Close,7203.T,1905.3262939453125
2021-06-22,Adj Close,7203.T,1968.982177734375
2021-06-23,Adj Close,7203.T,1933.7935791015625
2021-06-24,Adj Close,7203.T,1942.0965576171875
2021-06-25,Adj Close,7203.T,1947.0386962890625
2021-06-28,Adj Close,7203.T,1945.6549072265625
2021-06-29,Adj Close,7203.T,1925.4906005859375
2021-06-30,Adj Close,7203.T,1919.5599365234375
2021-07-01,Adj Close,7203.T,1915.606201171875
2021-07-02,Adj Close,7203.T,1941.3056640625
2021-07-05,Adj Close,7203.T,1931.816650390625
